StateAbbreviation,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,92.32,"146,000.80","37,035,189.89",99.41,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-06-26
CA,65.34,"103,337.26","28,717,057.78",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-06-26
CA,34.31,"54,255.46","22,065,025.35",59.23,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-06-26
CA,100.00,"158,147.87","37,253,956.41",100.00,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-07-03
CA,92.32,"146,000.80","37,035,189.89",99.41,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-07-03
CA,65.34,"103,337.26","28,717,057.78",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-07-03
CA,35.14,"55,580.99","22,068,990.95",59.24,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-07-03
CA,100.00,"158,147.87","37,253,956.41",100.00,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-07-10
CA,92.32,"146,000.80","37,035,189.89",99.41,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-07-10
CA,65.34,"103,337.26","28,717,057.78",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-07-10
CA,35.15,"55,594.79","22,073,108.88",59.25,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-07-10
CA,100.00,"158,147.87","37,253,956.41",100.00,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-07-17
CA,92.32,"146,000.80","37,035,189.89",99.41,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-07-17
CA,65.34,"103,337.26","28,717,057.78",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-07-17
CA,35.15,"55,581.56","22,070,138.59",59.24,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-07-17
CA,100.00,"158,147.87","37,253,956.41",100.00,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-07-24
CA,92.32,"146,000.80","37,035,189.89",99.41,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-07-24
CA,65.34,"103,337.26","28,717,057.78",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-07-24
CA,35.15,"55,594.79","22,073,108.88",59.25,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-07-24
CA,100.00,"158,147.87","37,253,956.41",100.00,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-07-31
CA,92.32,"146,000.80","37,035,189.89",99.41,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-07-31
CA,65.34,"103,337.26","28,717,057.78",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-07-31
CA,35.15,"55,594.79","22,073,108.88",59.25,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-07-31
CA,100.00,"158,147.87","37,253,956.41",100.00,0.00,0.00,1,1,D0  ,California,"158,147.87",2007-08-07
CA,92.32,"146,000.80","37,035,189.89",99.41,0.00,0.00,1,2,D1  ,California,"158,147.87",2007-08-07
CA,65.34,"103,337.26","28,717,057.78",77.08,0.00,0.00,1,3,D2  ,California,"158,147.87",2007-08-07
CA,35.15,"55,583.82","22,070,517.57",59.24,0.00,0.00,1,4,D3  ,California,"158,147.87",2007-08-07
